Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AXIL,AXIL Brands Inc. Common Stock,$6.90,0.10,1.471%,44621279.00,,2024,5164,Consumer Discretionary,Package Goods/Cosmetics
AZTR,Azitra Inc Common Stock,$0.35,0.02,6.061%,5242774.00,,2023,239868,Health Care,Biotechnology: Pharmaceutical Preparations
BATL,Battalion Oil Corporation Common Stock,$1.46,0.02,1.389%,24026582.00,United States,,2536,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$17.8696,0.0196,0.11%,0.00,United States,1972,13728,Finance,Finance/Investors Services
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$22.4919,0.0919,0.41%,,United States,,1958,,
BDL,Flanigan's Enterprises Inc. Common Stock,$24.30,-1.19,-4.668%,45165122.00,United States,1972,492,Consumer Discretionary,Restaurants
BEEP,Mobile Infrastructure Corporation Common Stock,$3.58,0.11,3.17%,150002000.00,,2023,27968,Finance,Blank Checks
BGI,Birks Group Inc. Common Stock,$1.22,-0.005,-0.408%,23382482.00,Canada,,213846,Consumer Discretionary,Consumer Specialties
BHB,Bar Harbor Bankshares Inc. Common Stock,$30.78,0.00,0.00%,469944608.00,United States,1997,26968,Finance,Major Banks
BHM,Bluerock Homes Trust Inc. Class A Common Stock,$11.90,0.00,0.00%,47152655.00,,2022,5072,Real Estate,Real Estate Investment Trusts
BKTI,BK Technologies Corporation Common Stock,$28.41,0.77,2.786%,101232643.00,United States,,17922,Technology,Radio And Television Broadcasting And Communications Equipment
BQ,Boqii Holding Limited American Depositary Shares (each representing one hundred fifty (150) Class A Ordinary Shares),$2.80,-0.13,-4.437%,3000284.00,,,2217,Consumer Discretionary,Other Specialty Stores
BRBS,Blue Ridge Bankshares Inc. Common Stock,$3.43,0.01,0.292%,252160381.00,United States,,433990,Finance,Major Banks
BRIA,BrilliA Inc Class A Ordinary Shares,$2.9019,-0.0281,-0.959%,88870688.00,,2024,42770,Consumer Discretionary,Apparel
BRN,Barnwell Industries Inc. Common Stock,$1.44,0.075,5.495%,14477089.00,United States,1965,18292,Energy,Oil & Gas Production
BTG,B2Gold Corp Common shares (Canada),$2.68,-0.06,-2.19%,3512938399.00,Canada,,34106466,Basic Materials,Precious Metals
BTTR,Better Choice Company Inc. Common Stock,$1.66,-0.04,-2.353%,3209011.00,,2021,51877,Consumer Staples,Beverages (Production/Distribution)
BURU,Nuburu Inc. Common Stock,$0.1905,-0.0165,-7.971%,3559860.00,United States,,9006575,Miscellaneous,Industrial Machinery/Components
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),$1.58,-0.02,-1.25%,8800600.00,Israel,,32662,Health Care,Biotechnology: Pharmaceutical Preparations
CATX,Perspective Therapeutics Inc. Common Stock,$2.61,-0.09,-3.333%,176403479.00,United States,,466490,Health Care,Medical/Dental Instruments
CCEL,Cryo-Cell International Inc. Common Stock,$7.1726,0.1426,2.028%,57970094.00,United States,2022,6845,Health Care,Misc Health and Biotechnology Services
CET,Central Securities Corporation Common Stock,$45.60,-0.2163,-0.472%,11036349120.00,United States,1951,56798,Finance,Finance/Investors Services
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,$10.2399,-0.0301,-0.293%,72023105.00,United States,1999,13403,Finance,Finance/Investors Services
CHEB,Chenghe Acquisition II Co. Class A Ordinary Shares,$10.215,-0.005,-0.049%,0.00,,2024,109832,,
CHRO,Channel Therapeutics Corporation Common Stock,$2.18,0.073,3.465%,13141064.00,,2024,8190,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,$2.92,-0.03,-1.017%,0.00,United States,,1023222,Finance,Finance/Investors Services
CIX,CompX International Inc. Common Stock,$22.67,0.46,2.071%,279261687.00,United States,1998,16903,Consumer Discretionary,Industrial Machinery/Components
CKX,CKX Lands Inc. Common Stock,$12.0156,-0.0981,-0.81%,24356006.00,United States,2003,368,Energy,Oil & Gas Production
CLDI,Calidi Biotherapeutics Inc. Common Stock,$0.8505,0.0009,0.106%,11122858.00,,2021,309573,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CLM,Cornerstone Strategic Investment Fund Inc. Common Shares,$7.90,-0.02,-0.253%,0.00,United States,2003,2278521,Finance,Finance/Investors Services
